file	size_bytes	status	baseline_min_ms	baseline_median_ms	baseline_mean_ms	baseline_max_ms	tested_min_ms	tested_median_ms	tested_mean_ms	tested_max_ms	ratio_baseline_over_tested	baseline_error	tested_error
cpython-3.8/Lib/encodings/cp852.py	35002	ok	19.791896	20.368909	20.227895	20.660895	0.517928	0.574617	0.791653	1.980104	35.447824		
cpython-3.8/Lib/encodings/cp855.py	33850	ok	19.490672	20.132062	20.296343	21.499216	0.554744	0.877361	1.103278	2.884644	22.946144		
cpython-3.8/Lib/encodings/cp856.py	12423	ok	18.497261	19.369795	19.511335	21.000667	0.370933	0.532781	0.748390	1.584789	36.355997		
cpython-3.8/Lib/encodings/cp857.py	33908	ok	19.884073	20.195551	20.264936	20.676521	0.519620	0.541612	0.594402	0.817133	37.287855		
cpython-3.8/Lib/encodings/cp858.py	34015	ok	18.481423	20.442384	20.230829	22.325675	0.512363	0.576389	0.747752	1.240516	35.466309		
cpython-3.8/Lib/encodings/cp860.py	34681	ok	19.706287	20.430534	20.500377	21.389132	0.579290	1.112376	1.103850	2.364184	18.366567		
cpython-3.8/Lib/encodings/cp861.py	34633	ok	18.447246	20.580523	20.387048	22.614189	0.527029	0.552942	0.772846	1.373694	37.220059		
cpython-3.8/Lib/encodings/cp862.py	33370	ok	18.527007	20.678872	20.506137	22.157098	0.531942	1.179586	1.217971	3.148641	17.530614		
cpython-3.8/Lib/encodings/cp863.py	34252	ok	19.804172	20.328363	20.366095	20.913014	0.511003	0.812056	0.845212	1.380501	25.033207		
cpython-3.8/Lib/encodings/cp864.py	33663	ok	19.253429	20.320879	20.428762	21.451719	0.490963	0.571452	0.636528	1.180971	35.560086		
cpython-3.8/Lib/encodings/cp865.py	34618	ok	19.359619	20.127229	20.297387	21.329397	0.555027	0.760016	1.051023	2.507275	26.482630		
cpython-3.8/Lib/encodings/cp866.py	34396	ok	18.998428	20.123345	20.631463	22.965341	0.503068	0.554207	0.798230	1.315427	36.310134		
cpython-3.8/Lib/encodings/cp869.py	32965	ok	18.689603	21.092428	20.769041	22.519246	0.628609	1.088080	1.096909	1.830009	19.384989		
cpython-3.8/Lib/encodings/cp874.py	12595	ok	17.875040	19.736049	19.757727	21.845907	0.413918	0.617322	0.712403	1.091760	31.970417		
cpython-3.8/Lib/encodings/cp875.py	12854	ok	18.112143	19.254994	19.481941	21.703825	0.435142	0.576211	0.655725	0.941651	33.416552		
cpython-3.8/Lib/encodings/cp932.py	1023	ok	18.919590	19.294506	19.406725	20.091688	0.259201	0.317593	0.366249	0.814208	60.752231		
cpython-3.8/Lib/encodings/cp949.py	1023	ok	17.553511	20.017177	19.619042	21.404084	0.287435	0.527209	0.581172	1.048972	37.968227		
cpython-3.8/Lib/encodings/cp950.py	1023	ok	17.293360	19.729954	19.527035	21.023807	0.467365	0.816044	0.788035	0.915683	24.177558		
cpython-3.8/Lib/encodings/euc_jis_2004.py	1051	ok	18.028972	19.412515	19.484607	21.058352	0.294534	0.363452	0.462875	0.838315	53.411500		
cpython-3.8/Lib/encodings/euc_jisx0213.py	1051	ok	17.405000	18.610077	19.135295	21.429643	0.264810	0.369808	0.526044	0.942856	50.323595		
cpython-3.8/Lib/encodings/euc_jp.py	1027	ok	18.154536	19.347580	19.330146	20.121850	0.293656	0.363438	0.443890	1.068431	53.234920		
cpython-3.8/Lib/encodings/euc_kr.py	1027	ok	17.304697	19.704895	19.658671	21.541783	0.300663	0.393247	0.563584	1.140074	50.108223		
cpython-3.8/Lib/encodings/gb18030.py	1031	ok	18.513318	19.245881	19.301878	20.225356	0.373108	0.838618	0.764961	1.100994	22.949532		
cpython-3.8/Lib/encodings/gb2312.py	1027	ok	17.414092	19.195806	19.355555	21.469784	0.330805	0.712465	0.705300	1.070111	26.942790		
cpython-3.8/Lib/encodings/gbk.py	1015	ok	17.809473	19.428413	19.411352	20.677551	0.279778	0.369340	0.431811	0.870107	52.603097		
cpython-3.8/Lib/encodings/hex_codec.py	1508	ok	17.606655	19.133098	19.425876	21.844242	0.332946	0.478277	0.695728	1.394029	40.004207		
cpython-3.8/Lib/encodings/hp_roman8.py	13475	ok	18.388665	19.343225	19.440800	20.835634	0.392852	0.425563	0.552415	1.126876	45.453305		
cpython-3.8/Lib/encodings/hz.py	1011	ok	17.390940	19.817267	19.588459	21.588534	0.288127	0.421783	0.551254	1.148796	46.984490		
cpython-3.8/Lib/encodings/idna.py	9098	ok	18.628971	19.645550	20.198090	22.518892	0.557750	0.638842	0.866511	1.673872	30.751798		
cpython-3.8/Lib/encodings/iso2022_jp.py	1053	ok	17.831086	18.557235	19.155402	21.446180	0.271126	0.381148	0.492885	0.955096	48.687742		
cpython-3.8/Lib/encodings/iso2022_jp_1.py	1061	ok	17.418589	19.244288	19.183120	21.404236	0.281757	0.427441	0.515227	0.943426	45.022143		
cpython-3.8/Lib/encodings/iso2022_jp_2.py	1061	ok	17.719351	18.996257	19.420697	21.584606	0.272036	0.315472	0.323241	0.398940	60.215293		
cpython-3.8/Lib/encodings/iso2022_jp_2004.py	1073	ok	17.387936	19.640355	19.415340	21.516665	0.310336	0.403681	0.558989	1.069915	48.653111		
cpython-3.8/Lib/encodings/iso2022_jp_3.py	1061	ok	18.000429	18.960822	19.201283	21.271304	0.362982	0.897350	0.744331	1.074089	21.129788		
cpython-3.8/Lib/encodings/iso2022_jp_ext.py	1069	ok	17.491972	19.551551	19.485000	21.887537	0.338861	0.493691	0.652341	1.202772	39.602848		
